epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,285.236,0.17773,0.34831,0.78045,0.97441,0.94707,0.98135,0.97452,0.11959,0.22621,0.77332,0.000307,0.000307,0.000307
44,291.585,0.17088,0.35545,0.7774,0.97357,0.95773,0.98118,0.97461,0.12472,0.22367,0.7743,0.0002905,0.0002905,0.0002905
45,297.954,0.17263,0.33398,0.77962,0.937,0.97235,0.97961,0.97355,0.11536,0.22046,0.77241,0.000274,0.000274,0.000274
46,304.252,0.17327,0.33446,0.77953,0.95994,0.95537,0.97848,0.96974,0.12219,0.23668,0.7731,0.0002575,0.0002575,0.0002575
47,310.586,0.17055,0.31429,0.78519,0.9415,0.96885,0.9791,0.97316,0.1142,0.22434,0.77245,0.000241,0.000241,0.000241
48,316.951,0.16793,0.31991,0.77622,0.95943,0.94554,0.97604,0.97018,0.11684,0.22546,0.77308,0.0002245,0.0002245,0.0002245
49,323.285,0.16126,0.31472,0.78088,0.96554,0.94264,0.97415,0.96753,0.10747,0.2228,0.77262,0.000208,0.000208,0.000208
50,329.585,0.16343,0.3306,0.77881,0.95992,0.95141,0.97691,0.97239,0.1043,0.22159,0.77205,0.0001915,0.0001915,0.0001915
51,347.385,0.15415,0.28593,0.77211,0.96866,0.95158,0.97635,0.9707,0.10828,0.22682,0.77181,0.000175,0.000175,0.000175
52,353.718,0.14705,0.27064,0.76985,0.95418,0.95624,0.9807,0.97535,0.11269,0.21872,0.77258,0.0001585,0.0001585,0.0001585
53,359.985,0.14833,0.2731,0.76941,0.9697,0.95988,0.98157,0.97545,0.10401,0.2104,0.77231,0.000142,0.000142,0.000142
54,366.288,0.14219,0.26221,0.77484,0.97803,0.95019,0.97766,0.9713,0.10298,0.21272,0.77232,0.0001255,0.0001255,0.0001255
55,372.504,0.14722,0.26031,0.7683,0.94574,0.97021,0.97736,0.97028,0.11222,0.22043,0.77167,0.000109,0.000109,0.000109
56,378.755,0.1413,0.2504,0.7763,0.95516,0.96438,0.97887,0.97225,0.10053,0.21489,0.77079,9.25e-05,9.25e-05,9.25e-05
57,385.025,0.13586,0.25327,0.7695,0.9681,0.95222,0.97781,0.97272,0.1007,0.2153,0.77083,7.6e-05,7.6e-05,7.6e-05
58,391.277,0.13117,0.24078,0.76311,0.96703,0.967,0.97611,0.97087,0.09574,0.21004,0.77111,5.95e-05,5.95e-05,5.95e-05
59,397.572,0.12662,0.23885,0.76425,0.96924,0.95207,0.97765,0.9721,0.09321,0.20457,0.7703,4.3e-05,4.3e-05,4.3e-05
60,403.817,0.13026,0.23969,0.76794,0.95926,0.96141,0.98067,0.9753,0.09047,0.19732,0.77013,2.65e-05,2.65e-05,2.65e-05
