epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,408.158,0.17298,0.33929,0.78075,0.95998,0.96403,0.98224,0.97528,0.12056,0.21704,0.77402,0.000307,0.000307,0.000307
44,415.546,0.17593,0.33798,0.7778,0.97697,0.95196,0.97641,0.97205,0.1247,0.22832,0.77486,0.0002905,0.0002905,0.0002905
45,422.778,0.17939,0.34102,0.78171,0.9729,0.94139,0.98077,0.97393,0.12502,0.22894,0.77494,0.000274,0.000274,0.000274
46,429.996,0.17622,0.33522,0.77919,0.95759,0.96351,0.97792,0.97523,0.12025,0.2292,0.7754,0.0002575,0.0002575,0.0002575
47,437.32,0.17148,0.31756,0.78559,0.97182,0.94882,0.98108,0.97441,0.11743,0.21562,0.77359,0.000241,0.000241,0.000241
48,444.679,0.17147,0.32686,0.77863,0.95945,0.96292,0.98179,0.9745,0.12373,0.22099,0.77384,0.0002245,0.0002245,0.0002245
49,452.02,0.16319,0.315,0.78256,0.98713,0.94678,0.98277,0.97632,0.11422,0.20387,0.77445,0.000208,0.000208,0.000208
50,459.44,0.16958,0.33753,0.78011,0.98386,0.93481,0.98044,0.9745,0.11048,0.21994,0.77355,0.0001915,0.0001915,0.0001915
51,480.15,0.15962,0.29474,0.77096,0.97285,0.94843,0.97976,0.97358,0.11497,0.2252,0.7736,0.000175,0.000175,0.000175
52,487.364,0.14978,0.27195,0.77019,0.96417,0.94445,0.98031,0.97211,0.1172,0.22339,0.77393,0.0001585,0.0001585,0.0001585
53,494.584,0.15198,0.28361,0.77231,0.97761,0.95324,0.98123,0.97449,0.11475,0.21508,0.77412,0.000142,0.000142,0.000142
54,501.859,0.1503,0.27469,0.77342,0.96203,0.95535,0.97955,0.975,0.11507,0.2226,0.773,0.0001255,0.0001255,0.0001255
55,509.103,0.14932,0.2664,0.7657,0.95656,0.95173,0.97929,0.9729,0.10849,0.21907,0.77312,0.000109,0.000109,0.000109
56,516.357,0.14321,0.25692,0.77538,0.97269,0.94448,0.97881,0.9738,0.10344,0.21616,0.7728,9.25e-05,9.25e-05,9.25e-05
57,523.64,0.14147,0.25542,0.76981,0.97262,0.94155,0.98014,0.97446,0.10103,0.21208,0.77221,7.6e-05,7.6e-05,7.6e-05
58,530.829,0.13094,0.24281,0.76713,0.97485,0.93768,0.98007,0.9757,0.09608,0.21183,0.77134,5.95e-05,5.95e-05,5.95e-05
59,538.064,0.12952,0.23688,0.76708,0.95062,0.96376,0.98097,0.97469,0.10031,0.20912,0.77132,4.3e-05,4.3e-05,4.3e-05
